country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,continent
Afghanistan,0.0,0.0,0.0,0.0,Asia
Albania,89.0,132.0,54.0,4.9,Europe
Algeria,25.0,0.0,14.0,0.7,Africa
Angola,217.0,57.0,45.0,5.9,Africa
Antigua & Barbuda,102.0,128.0,45.0,4.9,North America
Armenia,21.0,179.0,11.0,3.8,Europe
Azerbaijan,21.0,46.0,5.0,1.3,Europe
Bahamas,122.0,176.0,51.0,6.3,North America
Bahrain,42.0,63.0,7.0,2.0,Asia
Bangladesh,76.0,60.0,9.0,4.25,Asia
Barbados,143.0,173.0,36.0,6.3,North America
Belize,263.0,114.0,8.0,6.8,North America
Benin,34.0,4.0,13.0,1.1,Africa
Bhutan,23.0,0.0,0.0,0.4,Asia
Bolivia,167.0,41.0,8.0,3.8,South America
Bosnia-Herzegovina,76.0,173.0,8.0,4.6,Europe
Botswana,173.0,35.0,35.0,5.4,Africa
Brazil,245.0,145.0,16.0,7.2,South America
Brunei,31.0,2.0,1.0,0.6,Asia
Bulgaria,231.0,252.0,94.0,10.3,Europe
Burkina Faso,25.0,60.0,7.0,4.3,Africa
Burundi,88.0,0.0,0.0,6.3,Africa
Cote d'Ivoire,37.0,1.0,7.0,4.0,Africa
Cabo Verde,144.0,56.0,16.0,4.0,Africa
Cambodia,57.0,65.0,1.0,2.2,Asia
Cameroon,147.0,1.0,4.0,5.8,Africa
Canada,240.0,122.0,100.0,8.2,North America
Central African Republic,17.0,2.0,1.0,1.8,Africa
Chad,15.0,1.0,1.0,0.4,Africa
China,79.0,192.0,8.0,5.0,Asia
Colombia,76.0,76.0,3.0,4.2,South America
Comoros,1.0,3.0,1.0,0.1,Africa
Congo,76.0,1.0,9.0,1.7,Africa
Cook Islands,0.0,254.0,74.0,5.9,Oceania
Costa Rica,149.0,87.0,11.0,4.4,North America
Cuba,93.0,137.0,5.0,4.2,North America
Cyprus,192.0,154.0,113.0,8.2,Europe
Czech Republic,361.0,170.0,134.0,11.8,Europe
North Korea,0.0,0.0,0.0,0.0,Asia
DR Congo,32.0,3.0,1.0,2.3,Africa
Djibouti,15.0,44.0,3.0,1.1,Africa
Dominica,52.0,286.0,26.0,6.6,North America
Dominican Republic,193.0,147.0,9.0,6.2,North America
Ecuador,162.0,74.0,9.0,4.2,South America
Egypt,6.0,4.0,1.0,0.2,Africa
El Salvador,52.0,69.0,2.0,2.2,North America
Eritrea,18.0,0.0,0.0,0.5,Africa
Estonia,224.0,194.0,59.0,9.5,Europe
Ethiopia,20.0,3.0,0.0,0.7,Africa
Fiji,77.0,35.0,1.0,2.0,Oceania
Finland,263.0,133.0,97.0,10.0,Europe
Gabon,347.0,98.0,59.0,8.9,Africa
Gambia,8.0,0.0,1.0,2.4,Africa
Ghana,31.0,3.0,10.0,1.8,Africa
Guatemala,53.0,69.0,2.0,2.2,North America
Guinea,9.0,0.0,2.0,0.2,Africa
Guinea-Bissau,28.0,31.0,21.0,2.5,Africa
Guyana,93.0,302.0,1.0,7.1,South America
Honduras,69.0,98.0,9.0,3.0,North America
Iceland,76.0,61.0,78.0,6.6,Europe
India,9.0,114.0,0.0,2.2,Asia
Indonesia,5.0,1.0,0.0,0.1,Asia
Iran,0.0,0.0,0.0,0.0,Asia
Iraq,9.0,3.0,0.0,0.2,Asia
Israel,63.0,69.0,9.0,2.5,Asia
Jamaica,82.0,97.0,9.0,3.4,North America
Japan,77.0,202.0,16.0,7.0,Asia
Jordan,6.0,21.0,1.0,0.5,Asia
Kazakhstan,124.0,246.0,12.0,6.8,Asia
Kenya,58.0,60.0,2.0,1.8,Africa
Kiribati,21.0,34.0,1.0,1.0,Oceania
Kuwait,0.0,0.0,0.0,0.0,Asia
Kyrgyzstan,31.0,97.0,6.0,2.4,Asia
Laos,62.0,0.0,123.0,6.2,Asia
Latvia,281.0,216.0,62.0,10.5,Europe
Lebanon,20.0,55.0,31.0,1.9,Asia
Lesotho,82.0,29.0,0.0,2.8,Africa
Liberia,19.0,152.0,2.0,3.1,Africa
Libya,0.0,0.0,0.0,0.0,Africa
Lithuania,343.0,244.0,56.0,12.9,Europe
Madagascar,26.0,15.0,4.0,0.8,Africa
Malawi,8.0,60.0,1.0,1.5,Africa
Malaysia,13.0,4.0,0.0,0.3,Asia
Maldives,0.0,0.0,0.0,0.0,Asia
Mali,5.0,1.0,1.0,0.6,Africa
Malta,149.0,100.0,120.0,6.6,Europe
Marshall Islands,0.0,0.0,0.0,0.0,Oceania
Mauritania,0.0,0.0,0.0,0.0,Africa
Mauritius,98.0,31.0,18.0,2.6,Africa
Mexico,238.0,68.0,5.0,5.5,North America
Micronesia,62.0,50.0,18.0,2.3,Oceania
Monaco,0.0,0.0,0.0,0.0,Europe
Mongolia,77.0,189.0,8.0,4.9,Asia
Montenegro,31.0,114.0,128.0,4.9,Europe
Morocco,12.0,6.0,9.0,0.5,Africa
Mozambique,47.0,18.0,5.0,1.3,Africa
Myanmar,5.0,1.0,0.0,0.1,Asia
Namibia,376.0,3.0,1.0,6.8,Africa
Nauru,49.0,0.0,8.0,1.0,Oceania
Nepal,5.0,6.0,0.0,0.2,Asia
Nicaragua,78.0,60.0,1.0,3.5,North America
Niger,3.0,2.0,1.0,0.1,Africa
Nigeria,42.0,5.0,2.0,9.1,Africa
Niue,188.0,200.0,7.0,7.0,Oceania
Norway,169.0,71.0,129.0,6.7,Europe
Oman,22.0,16.0,1.0,0.7,Asia
Pakistan,0.0,0.0,0.0,0.0,Asia
Palau,306.0,63.0,23.0,6.9,Oceania
Panama,285.0,104.0,18.0,7.2,North America
Papua New Guinea,44.0,39.0,1.0,1.5,Oceania
Paraguay,213.0,117.0,74.0,7.3,South America
Peru,163.0,160.0,21.0,6.1,South America
Philippines,76.0,186.0,1.0,4.6,Asia
Poland,343.0,215.0,56.0,10.9,Europe
Qatar,1.0,42.0,7.0,0.9,Asia
South Korea,140.0,16.0,9.0,9.8,Asia
Moldova,109.0,226.0,18.0,6.3,Europe
Rwanda,43.0,2.0,0.0,6.8,Africa
St. Kitts & Nevis,194.0,205.0,32.0,7.7,North America
St. Vincent & the Grenadines,120.0,221.0,11.0,6.3,North America
Samoa,105.0,18.0,24.0,2.6,Oceania
San Marino,0.0,0.0,0.0,0.0,Europe
Sao Tome & Principe,56.0,38.0,9.0,4.2,Africa
Saudi Arabia,76.0,5.0,0.0,0.1,Asia
Senegal,9.0,1.0,7.0,0.3,Africa
Serbia,283.0,131.0,127.0,9.6,Europe
Seychelles,157.0,25.0,51.0,4.1,Africa
Sierra Leone,25.0,3.0,2.0,6.7,Africa
Singapore,60.0,12.0,11.0,1.5,Asia
Slovakia,196.0,293.0,116.0,11.4,Europe
Solomon Islands,56.0,11.0,1.0,1.2,Oceania
Somalia,0.0,0.0,0.0,0.0,Africa
South Africa,225.0,76.0,81.0,8.2,Africa
Spain,284.0,157.0,112.0,10.0,Europe
Sri Lanka,16.0,104.0,0.0,2.2,Asia
Sudan,8.0,13.0,0.0,1.7,Africa
Suriname,128.0,178.0,7.0,5.6,South America
Swaziland,90.0,60.0,2.0,4.7,Africa
Syria,5.0,35.0,16.0,1.0,Asia
Tajikistan,2.0,15.0,0.0,0.3,Asia
Thailand,99.0,258.0,1.0,6.4,Asia
Macedonia,106.0,27.0,86.0,3.9,Europe
Timor-Leste,1.0,1.0,4.0,0.1,Asia
Togo,36.0,2.0,19.0,1.3,Africa
Tonga,36.0,21.0,5.0,1.1,Oceania
Trinidad & Tobago,197.0,156.0,7.0,6.4,North America
Tunisia,51.0,3.0,20.0,1.3,Africa
Turkey,51.0,22.0,7.0,1.4,Asia
Turkmenistan,19.0,71.0,32.0,2.2,Asia
Tuvalu,6.0,41.0,9.0,1.0,Oceania
Uganda,45.0,60.0,0.0,8.3,Africa
Ukraine,206.0,237.0,45.0,8.9,Europe
United Arab Emirates,16.0,135.0,5.0,2.8,Asia
Tanzania,36.0,6.0,1.0,5.7,Africa
USA,249.0,158.0,84.0,8.7,North America
Uzbekistan,25.0,101.0,9.0,2.4,Asia
Vanuatu,21.0,18.0,11.0,0.9,Oceania
Venezuela,76.0,100.0,3.0,7.7,South America
Vietnam,111.0,2.0,1.0,2.0,Asia
Yemen,6.0,0.0,0.0,0.1,Asia
Zambia,32.0,19.0,4.0,2.5,Africa
Zimbabwe,64.0,18.0,4.0,4.7,Africa
